0,1,2,3,4,5,6,7,8,9,10
ice cream,citrus fruit,,,,,,,,,
ice cream,grapes,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
pork,napkins,,,,,,,,,
sausage,newspapers,soda,,,,,,,,
hard cheese,oil,,,,,,,,,
beef,rolls/buns,,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
brown bread,pastry,,,,,,,,,
sausage,tropical fruit,margarine,,,,,,,,
rolls/buns,curd,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
sausage,canned beer,,,,,,,,,
beef,tropical fruit,root vegetables,whole milk,cream cheese,newspapers,,,,,
frankfurter,pip fruit,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
tropical fruit,pastry,rolls/buns,,,,,,,,
bottled water,other vegetables,,,,,,,,,
packaged fruit/vegetables,onions,,,,,,,,,
citrus fruit,yogurt,rolls/buns,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
bottled beer,tropical fruit,sliced cheese,dishes,,,,,,,
abrasive cleaner,citrus fruit,whole milk,long life bakery product,,,,,,,
hygiene articles,chocolate,soups,,,,,,,,
whipped/sour cream,yogurt,candy,,,,,,,,
meat,whipped/sour cream,,,,,,,,,
waffles,yogurt,,,,,,,,,
citrus fruit,tropical fruit,soda,coffee,domestic eggs,,,,,,
canned beer,other vegetables,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
citrus fruit,soda,,,,,,,,,
sauces,misc. beverages,,,,,,,,,
pastry,detergent,,,,,,,,,
other vegetables,soda,,,,,,,,,
hamburger meat,beef,bottled beer,whole milk,chocolate,,,,,,
pip fruit,specialty fat,,,,,,,,,
butter milk,yogurt,,,,,,,,,
grapes,grapes,,,,,,,,,
rolls/buns,oil,fruit/vegetable juice,,,,,,,,
other vegetables,yogurt,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
tropical fruit,domestic eggs,vinegar,whipped/sour cream,,,,,,,
chicken,napkins,soda,,,,,,,,
whole milk,bottled water,,,,,,,,,
root vegetables,frozen vegetables,rolls/buns,,,,,,,,
citrus fruit,hard cheese,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
sausage,pastry,,,,,,,,,
yogurt,soda,,,,,,,,,
citrus fruit,yogurt,citrus fruit,sausage,hard cheese,napkins,margarine,cream cheese,,,
pip fruit,whole milk,soda,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
citrus fruit,cream cheese,,,,,,,,,
rolls/buns,other vegetables,whipped/sour cream,,,,,,,,
zwieback,white bread,,,,,,,,,
waffles,pip fruit,whole milk,beef,yogurt,,,,,,
sausage,root vegetables,,,,,,,,,
citrus fruit,whole milk,rolls/buns,,,,,,,,
sausage,root vegetables,,,,,,,,,
beef,soda,,,,,,,,,
turkey,other vegetables,,,,,,,,,
canned beer,liquor,,,,,,,,,
whole milk,butter,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
chicken,organic products,,,,,,,,,
beverages,sliced cheese,semi-finished bread,,,,,,,,
butter milk,whipped/sour cream,,,,,,,,,
pip fruit,soda,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
pork,soda,,,,,,,,,
citrus fruit,pastry,candy,softener,,,,,,,
pip fruit,soda,,,,,,,,,
whipped/sour cream,yogurt,processed cheese,rolls/buns,,,,,,,
chicken,finished products,rolls/buns,butter,rolls/buns,herbs,white bread,,,,
coffee,butter,,,,,,,,,
long life bakery product,soda,,,,,,,,,
chocolate,beef,,,,,,,,,
yogurt,whole milk,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
ham,soda,pickled vegetables,,,,,,,,
rolls/buns,berries,,,,,,,,,
root vegetables,white bread,canned fish,,,,,,,,
canned beer,sugar,hygiene articles,whole milk,,,,,,,
frozen potato products,detergent,,,,,,,,,
soda,white wine,processed cheese,,,,,,,,
pork,whole milk,,,,,,,,,
cream cheese,root vegetables,,,,,,,,,
cereals,sugar,,,,,,,,,
canned beer,yogurt,,,,,,,,,
yogurt,whole milk,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
tropical fruit,pip fruit,herbs,yogurt,bottled water,sweet spreads,,,,,
dessert,soda,,,,,,,,,
soda,pip fruit,,,,,,,,,
whole milk,pet care,herbs,soda,cat food,whole milk,,,,,
bottled water,liquor (appetizer),,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
rolls/buns,mayonnaise,flour,,,,,,,,
whole milk,other vegetables,,,,,,,,,
herbs,yogurt,misc. beverages,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
sausage,tea,,,,,,,,,
frozen potato products,bottled beer,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
whipped/sour cream,frankfurter,rolls/buns,citrus fruit,candy,bottled beer,yogurt,whole milk,,,
canned beer,misc. beverages,,,,,,,,,
pip fruit,abrasive cleaner,,,,,,,,,
berries,domestic eggs,,,,,,,,,
yogurt,bottled beer,,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
soda,salt,,,,,,,,,
sausage,curd,salty snack,,,,,,,,
fruit/vegetable juice,canned vegetables,,,,,,,,,
meat,soda,,,,,,,,,
whipped/sour cream,cat food,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
sausage,cat food,pastry,,,,,,,,
soda,instant coffee,,,,,,,,,
fruit/vegetable juice,white bread,,,,,,,,,
whole milk,bottled water,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
pip fruit,chocolate marshmallow,,,,,,,,,
pork,newspapers,root vegetables,,,,,,,,
UHT-milk,canned beer,,,,,,,,,
bottled beer,newspapers,napkins,,,,,,,,
whole milk,dental care,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
citrus fruit,bottled water,white wine,rolls/buns,,,,,,,
hamburger meat,bottled beer,coffee,instant coffee,yogurt,,,,,,
citrus fruit,yogurt,,,,,,,,,
tropical fruit,coffee,whole milk,,,,,,,,
coffee,cream cheese,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
sausage,coffee,pip fruit,tropical fruit,,,,,,,
sausage,oil,,,,,,,,,
bottled water,photo/film,,,,,,,,,
ham,instant coffee,,,,,,,,,
pork,frozen dessert,newspapers,,,,,,,,
coffee,other vegetables,specialty cheese,,,,,,,,
sausage,long life bakery product,curd,,,,,,,,
citrus fruit,flour,,,,,,,,,
pet care,sliced cheese,,,,,,,,,
citrus fruit,pork,napkins,domestic eggs,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
citrus fruit,make up remover,,,,,,,,,
canned beer,whipped/sour cream,pastry,,,,,,,,
onions,cream cheese,dishes,,,,,,,,
canned beer,rolls/buns,berries,domestic eggs,,,,,,,
other vegetables,bottled beer,cleaner,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
tropical fruit,frozen fish,domestic eggs,mustard,,,,,,,
rolls/buns,curd cheese,Instant food products,,,,,,,,
coffee,hygiene articles,yogurt,,,,,,,,
margarine,pickled vegetables,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
root vegetables,zwieback,,,,,,,,,
whole milk,cream cheese,,,,,,,,,
frankfurter,specialty chocolate,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
berries,whole milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,pork,newspapers,,,,,,,,
canned beer,other vegetables,,,,,,,,,
citrus fruit,ham,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
citrus fruit,newspapers,shopping bags,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
other vegetables,butter,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
packaged fruit/vegetables,berries,,,,,,,,,
beef,frozen vegetables,coffee,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pip fruit,other vegetables,whole milk,whipped/sour cream,,,,,,,
semi-finished bread,salty snack,waffles,frozen dessert,,,,,,,
frozen meals,whole milk,,,,,,,,,
tropical fruit,bottled beer,other vegetables,meat,roll products,,,,,,
bottled beer,white bread,,,,,,,,,
curd,soda,sugar,specialty chocolate,artif. sweetener,,,,,,
processed cheese,dog food,frozen potato products,,,,,,,,
canned beer,bottled beer,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
margarine,soda,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
fruit/vegetable juice,rolls/buns,,,,,,,,,
root vegetables,cream,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pork,hygiene articles,,,,,,,,,
tropical fruit,chicken,soda,soda,,,,,,,
whole milk,grapes,pastry,yogurt,,,,,,,
brown bread,rolls/buns,processed cheese,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
whole milk,white bread,,,,,,,,,
rolls/buns,baking powder,,,,,,,,,
chocolate,yogurt,,,,,,,,,
berries,candy,,,,,,,,,
mustard,yogurt,,,,,,,,,
coffee,kitchen towels,,,,,,,,,
soda,pip fruit,,,,,,,,,
butter milk,pickled vegetables,,,,,,,,,
roll products,whole milk,tropical fruit,rolls/buns,rolls/buns,,,,,,
whole milk,rolls/buns,,,,,,,,,
vinegar,grapes,frozen vegetables,,,,,,,,
hygiene articles,dessert,,,,,,,,,
meat,chocolate,brown bread,,,,,,,,
whole milk,coffee,whole milk,,,,,,,,
misc. beverages,other vegetables,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
pastry,whole milk,sausage,soda,soda,sliced cheese,domestic eggs,,,,
baking powder,pickled vegetables,,,,,,,,,
pork,berries,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
tropical fruit,spices,,,,,,,,,
onions,brown bread,canned vegetables,canned beer,,,,,,,
frozen vegetables,rolls/buns,,,,,,,,,
root vegetables,root vegetables,white wine,whipped/sour cream,abrasive cleaner,soda,,,,,
beef,other vegetables,,,,,,,,,
bottled water,bottled water,,,,,,,,,
whole milk,red/blush wine,,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
meat,rolls/buns,,,,,,,,,
meat,whole milk,,,,,,,,,
frozen meals,whole milk,,,,,,,,,
pork,pickled vegetables,,,,,,,,,
other vegetables,other vegetables,pip fruit,specialty bar,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
other vegetables,margarine,,,,,,,,,
meat,other vegetables,,,,,,,,,
beef,whole milk,cream cheese,butter,,,,,,,
whole milk,rolls/buns,cling film/bags,,,,,,,,
beverages,other vegetables,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
chicken,root vegetables,,,,,,,,,
chicken,dessert,,,,,,,,,
whole milk,beef,whipped/sour cream,whole milk,curd cheese,,,,,,
liquor,hard cheese,,,,,,,,,
grapes,soda,other vegetables,,,,,,,,
soda,other vegetables,,,,,,,,,
hard cheese,salty snack,,,,,,,,,
other vegetables,soda,fruit/vegetable juice,,,,,,,,
canned beer,beverages,,,,,,,,,
candy,domestic eggs,,,,,,,,,
pork,pork,,,,,,,,,
meat,beef,whole milk,other vegetables,grapes,whipped/sour cream,coffee,whole milk,,,
whole milk,salty snack,,,,,,,,,
butter,coffee,pastry,bottled beer,,,,,,,
root vegetables,coffee,,,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
berries,baking powder,,,,,,,,,
other vegetables,mayonnaise,fruit/vegetable juice,,,,,,,,
frozen meals,domestic eggs,domestic eggs,,,,,,,,
sausage,pork,,,,,,,,,
whole milk,canned fish,,,,,,,,,
coffee,hamburger meat,brown bread,detergent,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
processed cheese,other vegetables,,,,,,,,,
pork,butter,,,,,,,,,
newspapers,cream,,,,,,,,,
meat,whole milk,,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
turkey,newspapers,white wine,,,,,,,,
whole milk,onions,,,,,,,,,
newspapers,chocolate,,,,,,,,,
butter,potato products,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
canned beer,rolls/buns,other vegetables,brown bread,butter milk,whole milk,,,,,
sausage,bottled beer,dessert,butter,cream cheese,other vegetables,canned beer,brown bread,,,
coffee,whole milk,,,,,,,,,
specialty bar,bottled beer,,,,,,,,,
whipped/sour cream,cream cheese,,,,,,,,,
yogurt,sausage,domestic eggs,other vegetables,nut snack,shopping bags,,,,,
pip fruit,shopping bags,,,,,,,,,
hamburger meat,white bread,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
bottled beer,hamburger meat,other vegetables,,,,,,,,
yogurt,salt,,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
other vegetables,pip fruit,napkins,,,,,,,,
liquor (appetizer),hard cheese,yogurt,,,,,,,,
processed cheese,waffles,,,,,,,,,
frozen potato products,soda,,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
cream cheese,canned beer,waffles,,,,,,,,
finished products,UHT-milk,,,,,,,,,
whole milk,coffee,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
soda,waffles,,,,,,,,,
butter milk,shopping bags,,,,,,,,,
white bread,shopping bags,,,,,,,,,
other vegetables,butter,,,,,,,,,
butter,newspapers,,,,,,,,,
sausage,pip fruit,,,,,,,,,
pork,cat food,,,,,,,,,
root vegetables,UHT-milk,nuts/prunes,frankfurter,misc. beverages,whole milk,cream cheese,canned fish,,,
newspapers,white wine,,,,,,,,,
organic sausage,grapes,pastry,,,,,,,,
domestic eggs,roll products,oil,,,,,,,,
other vegetables,tropical fruit,sweet spreads,,,,,,,,
whipped/sour cream,curd,shopping bags,,,,,,,,
grapes,other vegetables,,,,,,,,,
butter,seasonal products,fruit/vegetable juice,,,,,,,,
domestic eggs,curd cheese,,,,,,,,,
coffee,shopping bags,,,,,,,,,
pip fruit,shopping bags,butter,,,,,,,,
pip fruit,seasonal products,chocolate,,,,,,,,
whole milk,curd,bottled beer,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
yogurt,soft cheese,herbs,rolls/buns,,,,,,,
other vegetables,other vegetables,waffles,,,,,,,,
specialty bar,canned beer,,,,,,,,,
curd,grapes,curd,shopping bags,,,,,,,
whole milk,yogurt,sliced cheese,,,,,,,,
other vegetables,shopping bags,salty snack,,,,,,,,
yogurt,cream cheese,,,,,,,,,
rolls/buns,butter,,,,,,,,,
pip fruit,long life bakery product,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
other vegetables,specialty fat,,,,,,,,,
specialty bar,shopping bags,,,,,,,,,
rolls/buns,soft cheese,,,,,,,,,
soda,red/blush wine,root vegetables,butter milk,,,,,,,
other vegetables,other vegetables,,,,,,,,,
canned beer,cream cheese,,,,,,,,,
vinegar,newspapers,brown bread,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
rolls/buns,chicken,whipped/sour cream,canned beer,baking powder,,,,,,
whole milk,yogurt,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
soda,pip fruit,hygiene articles,oil,,,,,,,
pastry,canned beer,mustard,yogurt,,,,,,,
sausage,pastry,whole milk,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
canned beer,soda,candles,pickled vegetables,,,,,,,
ham,bathroom cleaner,,,,,,,,,
beef,berries,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
salty snack,white bread,,,,,,,,,
cling film/bags,canned vegetables,,,,,,,,,
tropical fruit,coffee,dessert,fruit/vegetable juice,,,,,,,
root vegetables,root vegetables,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
hamburger meat,organic sausage,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
oil,brown bread,oil,seasonal products,,,,,,,
root vegetables,citrus fruit,bottled water,Instant food products,butter milk,mayonnaise,,,,,
bottled water,root vegetables,,,,,,,,,
yogurt,ice cream,,,,,,,,,
onions,frozen vegetables,,,,,,,,,
frozen vegetables,flower (seeds),,,,,,,,,
tropical fruit,bottled water,dessert,,,,,,,,
salty snack,whole milk,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
liver loaf,soda,,,,,,,,,
pork,whole milk,domestic eggs,sweet spreads,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
tropical fruit,butter,,,,,,,,,
sausage,whipped/sour cream,waffles,,,,,,,,
fruit/vegetable juice,newspapers,,,,,,,,,
shopping bags,margarine,,,,,,,,,
packaged fruit/vegetables,long life bakery product,,,,,,,,,
canned fish,cat food,,,,,,,,,
ham,whole milk,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pip fruit,root vegetables,root vegetables,beverages,,,,,,,
napkins,fruit/vegetable juice,,,,,,,,,
onions,hamburger meat,whole milk,tropical fruit,pet care,root vegetables,yogurt,flour,,,
sausage,sausage,bottled beer,spread cheese,,,,,,,
root vegetables,other vegetables,,,,,,,,,
soda,hygiene articles,,,,,,,,,
tropical fruit,berries,,,,,,,,,
beef,butter,chocolate,frozen meals,napkins,margarine,,,,,
meat,sugar,margarine,cat food,,,,,,,
curd,ice cream,,,,,,,,,
pastry,mustard,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
brown bread,ice cream,fruit/vegetable juice,,,,,,,,
sausage,butter,yogurt,yogurt,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
other vegetables,spices,,,,,,,,,
bottled water,frozen meals,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
brown bread,dishes,,,,,,,,,
UHT-milk,cream cheese,,,,,,,,,
frankfurter,sausage,brown bread,canned beer,,,,,,,
beef,herbs,oil,,,,,,,,
margarine,other vegetables,bottled water,meat spreads,,,,,,,
pork,curd,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
whole milk,whole milk,bottled water,,,,,,,,
other vegetables,dishes,,,,,,,,,
other vegetables,canned beer,shopping bags,,,,,,,,
hard cheese,coffee,,,,,,,,,
pork,soda,rolls/buns,brown bread,,,,,,,
pastry,waffles,,,,,,,,,
tropical fruit,soda,canned beer,,,,,,,,
citrus fruit,toilet cleaner,,,,,,,,,
grapes,cream cheese,,,,,,,,,
other vegetables,hard cheese,chocolate,,,,,,,,
shopping bags,cream cheese,,,,,,,,,
pet care,soda,,,,,,,,,
tropical fruit,frozen vegetables,rice,,,,,,,,
sausage,root vegetables,,,,,,,,,
other vegetables,curd,,,,,,,,,
berries,shopping bags,red/blush wine,,,,,,,,
bottled water,Instant food products,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
fruit/vegetable juice,chocolate,cat food,coffee,,,,,,,
chicken,misc. beverages,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
liver loaf,bottled water,bottled water,,,,,,,,
pork,rolls/buns,,,,,,,,,
ham,curd,,,,,,,,,
domestic eggs,pasta,,,,,,,,,
yogurt,sparkling wine,,,,,,,,,
berries,fruit/vegetable juice,cream cheese,tropical fruit,,,,,,,
pot plants,soda,,,,,,,,,
white bread,salty snack,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
butter milk,semi-finished bread,,,,,,,,,
beef,napkins,,,,,,,,,
beef,tropical fruit,,,,,,,,,
bottled water,whole milk,,,,,,,,,
onions,whipped/sour cream,dishes,,,,,,,,
sausage,tea,,,,,,,,,
berries,salty snack,,,,,,,,,
root vegetables,frozen meals,,,,,,,,,
canned vegetables,chicken,rolls/buns,,,,,,,,
soda,coffee,salty snack,,,,,,,,
shopping bags,whole milk,domestic eggs,,,,,,,,
rolls/buns,other vegetables,yogurt,frozen vegetables,,,,,,,
sugar,fruit/vegetable juice,,,,,,,,,
chicken,curd,,,,,,,,,
frozen dessert,soda,,,,,,,,,
grapes,hard cheese,,,,,,,,,
pasta,rolls/buns,margarine,canned fish,yogurt,,,,,,
bottled beer,pip fruit,,,,,,,,,
berries,other vegetables,,,,,,,,,
frozen fish,white bread,,,,,,,,,
domestic eggs,mayonnaise,,,,,,,,,
beef,cling film/bags,bottled water,butter,sweet spreads,candy,,,,,
soda,whipped/sour cream,,,,,,,,,
soda,pip fruit,,,,,,,,,
frozen vegetables,root vegetables,,,,,,,,,
root vegetables,whole milk,soda,,,,,,,,
detergent,butter,,,,,,,,,
long life bakery product,brown bread,,,,,,,,,
pastry,tropical fruit,sugar,sauces,bottled water,sliced cheese,,,,,
yogurt,frozen vegetables,,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
root vegetables,coffee,sliced cheese,newspapers,,,,,,,
canned beer,flour,,,,,,,,,
pork,honey,newspapers,,,,,,,,
onions,bottled beer,,,,,,,,,
turkey,photo/film,mayonnaise,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
cocoa drinks,red/blush wine,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
beef,specialty bar,rolls/buns,,,,,,,,
whole milk,whole milk,whole milk,yogurt,root vegetables,white bread,shopping bags,other vegetables,,,
sausage,pasta,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
beef,hair spray,,,,,,,,,
instant coffee,butter,,,,,,,,,
female sanitary products,whole milk,hygiene articles,,,,,,,,
coffee,domestic eggs,,,,,,,,,
bottled beer,whole milk,citrus fruit,other vegetables,soft cheese,,,,,,
sausage,whole milk,tropical fruit,light bulbs,yogurt,rolls/buns,liquor (appetizer),,,,
pastry,whole milk,citrus fruit,newspapers,,,,,,,
misc. beverages,grapes,instant coffee,,,,,,,,
citrus fruit,candy,,,,,,,,,
bottled water,yogurt,seasonal products,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
whole milk,bottled water,,,,,,,,,
beef,shopping bags,,,,,,,,,
photo/film,brown bread,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
onions,oil,,,,,,,,,
chewing gum,coffee,napkins,brown bread,,,,,,,
roll products,specialty chocolate,,,,,,,,,
soda,other vegetables,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
frozen fish,sausage,other vegetables,canned beer,yogurt,shopping bags,beverages,chewing gum,canned beer,,
chicken,fruit/vegetable juice,,,,,,,,,
onions,grapes,yogurt,tropical fruit,whole milk,salty snack,root vegetables,frozen dessert,whipped/sour cream,,
tropical fruit,frozen vegetables,,,,,,,,,
photo/film,chewing gum,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
dessert,jam,,,,,,,,,
bottled beer,beef,domestic eggs,whipped/sour cream,shopping bags,newspapers,,,,,
whole milk,soda,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
pork,rolls/buns,specialty bar,hygiene articles,,,,,,,
brown bread,flour,,,,,,,,,
citrus fruit,yogurt,soda,,,,,,,,
tropical fruit,sausage,,,,,,,,,
pork,specialty bar,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
whole milk,dishes,,,,,,,,,
rolls/buns,whole milk,white bread,popcorn,,,,,,,
coffee,shopping bags,,,,,,,,,
onions,pastry,,,,,,,,,
chewing gum,other vegetables,pip fruit,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
napkins,cake bar,,,,,,,,,
UHT-milk,yogurt,pastry,UHT-milk,,,,,,,
root vegetables,beverages,,,,,,,,,
oil,bottled water,,,,,,,,,
tropical fruit,pip fruit,root vegetables,pet care,,,,,,,
other vegetables,berries,,,,,,,,,
tropical fruit,cake bar,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
pip fruit,pastry,,,,,,,,,
herbs,margarine,rolls/buns,chocolate,,,,,,,
pastry,whole milk,,,,,,,,,
meat,pastry,,,,,,,,,
other vegetables,soda,hard cheese,coffee,whipped/sour cream,newspapers,,,,,
rolls/buns,long life bakery product,,,,,,,,,
coffee,butter milk,,,,,,,,,
root vegetables,whole milk,pastry,,,,,,,,
rolls/buns,cat food,newspapers,,,,,,,,
hard cheese,rolls/buns,white wine,,,,,,,,
dessert,fruit/vegetable juice,napkins,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
berries,bottled beer,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
butter milk,margarine,,,,,,,,,
pork,male cosmetics,pastry,chewing gum,brandy,,,,,,
liquor,bottled beer,other vegetables,,,,,,,,
whole milk,butter milk,domestic eggs,,,,,,,,
other vegetables,coffee,,,,,,,,,
pip fruit,spread cheese,misc. beverages,,,,,,,,
onions,instant coffee,,,,,,,,,
rolls/buns,soda,other vegetables,vinegar,,,,,,,
citrus fruit,pastry,,,,,,,,,
whole milk,seasonal products,,,,,,,,,
dessert,beverages,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
bottled water,long life bakery product,rolls/buns,,,,,,,,
canned fruit,newspapers,,,,,,,,,
ice cream,pork,,,,,,,,,
newspapers,salty snack,,,,,,,,,
bottled beer,butter milk,,,,,,,,,
pork,pip fruit,,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
meat,frozen potato products,,,,,,,,,
rolls/buns,potato products,,,,,,,,,
whole milk,margarine,sugar,,,,,,,,
butter,frozen meals,,,,,,,,,
pastry,newspapers,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
sliced cheese,butter,,,,,,,,,
pastry,bottled beer,,,,,,,,,
whole milk,baking powder,,,,,,,,,
chicken,UHT-milk,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
misc. beverages,sausage,root vegetables,liquor (appetizer),coffee,,,,,,
curd,salty snack,,,,,,,,,
onions,cream cheese,,,,,,,,,
rolls/buns,tropical fruit,seasonal products,fruit/vegetable juice,,,,,,,
photo/film,vinegar,,,,,,,,,
frankfurter,light bulbs,rolls/buns,pasta,,,,,,,
onions,pastry,shopping bags,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
pork,margarine,sugar,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
whipped/sour cream,instant coffee,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
salty snack,sugar,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
hygiene articles,grapes,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
spread cheese,shopping bags,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
beverages,sausage,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
chewing gum,whole milk,bottled beer,ready soups,,,,,,,
finished products,pork,onions,pasta,tropical fruit,soda,pastry,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
citrus fruit,salty snack,oil,,,,,,,,
butter milk,fruit/vegetable juice,pastry,margarine,,,,,,,
butter,rolls/buns,,,,,,,,,
spread cheese,specialty chocolate,sugar,,,,,,,,
fruit/vegetable juice,dental care,,,,,,,,,
yogurt,chewing gum,soda,oil,,,,,,,
tropical fruit,margarine,,,,,,,,,
soda,whole milk,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
chocolate,canned beer,frozen fish,,,,,,,,
sugar,specialty bar,,,,,,,,,
soda,pork,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
frankfurter,white wine,,,,,,,,,
beef,curd,,,,,,,,,
butter,whole milk,root vegetables,butter,,,,,,,
newspapers,bottled water,,,,,,,,,
sausage,sausage,pastry,tropical fruit,whole milk,white wine,sweet spreads,whole milk,,,
cream cheese,white bread,,,,,,,,,
domestic eggs,fruit/vegetable juice,,,,,,,,,
tropical fruit,dental care,,,,,,,,,
whole milk,rolls/buns,cat food,shopping bags,,,,,,,
sausage,newspapers,,,,,,,,,
ham,canned beer,soups,,,,,,,,
